oiseau_en,oiseau_fr
Mourning Dove,Tourterelle triste
Mute swan,Cygne tuberculé
Northern Cardinal,Cardinal rouge
Northern Lapwing,Vanneau huppé
Northern Mockingbird,Moqueur polyglotte
Northern parula,Paruline à collier
Northern rough-winged swallow,Hirondelle à ailes hérissées
Northern Waterthrush,Paruline des ruisseaux
Olive-sided Flycatcher,Moucherolle à côtés olive
Osprey,Balbuzard pêcheur
Ovenbird,Paruline couronnée
Philadelphia Vireo,Viréo de Philadelphie
Pied-billed Grebe,Grèbe à bec bigarré
Pileated woodpecker,Grand pic
Pine Siskin,Tarin des pins
Purple Finch,Roselin pourpré
Purple Martin,Hirondelle noire
Red crossbill,Bec-croisé des sapins
Red-bellied Woodpecker,Pic à ventre roux
Red-breasted Nuthatch,Sittelle à poitrine rousse
Red-crested Cardinal,Paroare huppé
Red-eyed Vireo,Viréo aux yeux rouges
Red-winged Blackbird,Carouge à épaulettes
Ring-billed Gull,Goéland à bec cerclé
Rock Pigeon,Pigeon biset
Rose-breasted Grosbeak,Cardinal à poitrine rose
Ruby-crowned Kinglet,Roitelet à couronne rubis
Ruby-throated Hummingbird,Colibri à gorge rubis
Scarlet tanager,Piranga écarlate
Semipalmated plover,Pluvier semipalmé
Solitary Sandpiper,Chevalier solitaire
Song Sparrow,Bruant chanteur
Spotted Towhee,Tohi tacheté
Steller's jay,Geai de Steller
Swainson's Thrush,Grive à dos olive
Swamp Sparrow,Bruant des marais
Tennessee Warbler,Paruline obscure
Tree Swallow,Hirondelle bicolore
Tufted Titmouse,Mésange bicolore
Veery,Grive fauve
Virginia Rail,Râle de Virginie
Warbling Vireo,Viréo mélodieux
White-breasted Nuthatch,Sittelle à poitrine blanche
White-throated Sparrow,Bruant à gorge blanche
Wild Turkey,Dindon sauvage
Wilson's Warbler,Paruline à calotte noire
Winter wren,Troglodyte des forêts
Wood Duck,Canard branchu
Wood Thrush,Grive des bois
Yellow Warbler,Paruline jaune
Yellow-faced Grassquit,Cici grand-chanteur
Yellow-rumped warbler,Paruline à croupion jaune
Yellow-rumped Warbler,Paruline à croupion jaune
Yellow-throated vireo,Viréo à gorge jaune
American Black Duck,Canard noir
American Tree Sparrow,Bruant hudsonien
American Woodcock,Bécasse d'Amérique
Bald Eagle,Pygargue à tête blanche
Barn Swallow,Hirondelle rustique
Barred Owl,Chouette rayée
Black Scoter,Macreuse à bec jaune
Black-throated Blue Warbler,Paruline bleue
Blue-winged Teal,Sarcelle à ailes bleues
Broad-winged Hawk,Petite Buse
Brown Creeper,Grimpereau brun
Bufflehead,Petit Garrot
Common Eider,Eider à duvet
Common Loon,Plongeon huard
Common Merganser,Harle bièvre
Common Raven,Grand Corbeau
Common Redpoll,Sizerin flammé
Double-crested Cormorant,Cormoran à aigrettes
Eastern Bluebird,Merlebleu de l'Est
Eastern Meadowlark,Sturnelle des prés
Evening Grosbeak,Gros-bec errant
Great Black-backed Gull,Goéland marin
Green-winged Teal,Sarcelle à ailes vertes
Hairy Woodpecker,Pic chevelu
Hooded Merganser,Harle couronné
Horned Lark,Alouette hausse-col
Long-tailed Duck,Harelde de Miquelon
Mute Swan,Cygne tuberculé
Northern Flicker,Pic flamboyant
Northern Rough-winged Swallow,Hirondelle à ailes hérissées
Northern Shoveler,Canard souchet
Palm Warbler,Paruline à couronne rousse
Pileated Woodpecker,Grand Pic
Pine Warbler,Paruline des pins
Red-breasted Merganser,Harle huppé
Red-tailed Hawk,Buse à queue rousse
Ring-necked Duck,Fuligule à collier
Ruffed Grouse,Gélinotte huppée
Rusty Blackbird,Quiscale rouilleux
Sandhill Crane,Grue du Canada
Turkey Vulture,Urubu à tête rouge
White-crowned Sparrow,Bruant à couronne blanche
Wilson's Snipe,Bécassine de Wilson
Winter Wren,Troglodyte des forêts
Yellow-bellied Sapsucker,Pic maculé
Alder Flycatcher,Moucherolle des aulnes
American Coot,Foulque d'Amérique
Bobolink,Goglu des prés
Brown Thrasher,Moqueur roux
Caspian Tern,Sterne caspienne
Green Heron,Héron vert
Killdeer,Pluvier kildir
Magnolia Warbler,Paruline à tête cendrée
Nashville Warbler,Paruline à joues grises
Northern Parula,Paruline à collier
Savannah Sparrow,Bruant des prés
Scarlet Tanager,Piranga écarlate
Spotted Sandpiper,Chevalier grivelé
Belted Kingfisher,Martin-pêcheur d'Amérique
Canada Warbler,Paruline du Canada
Eastern Kingbird,Tyran tritri
